method,iteration,x1,x2,norm,error_to_reference,fixed_point_residual,inclusion_residual
forward_backward_stable,0,2.5,-2.0,3.2015621187164243,2.8034319626541264,2.0215835377248204,5.05395884431205
forward_backward_stable,1,0.68,-2.88,2.959189078109069,2.378790901665414,1.5279057562559282,4.288426284780933
forward_backward_stable,2,-0.74,-2.316,2.4313485969724704,1.9246763564098446,1.2964710255150327,3.2411775637875815
forward_backward_stable,5,-0.0,0.0665920000000002,0.0665920000000002,0.6490542485346841,0.46803967472991015,1.4614116829312678
forward_backward_stable,10,0.0,-0.8034007756800001,0.8034007756800001,0.2417683009574272,0.14136031027200002,0.35340077568000017
forward_backward_stable,20,0.061875967999999976,-0.5770040216012856,0.5803122231695571,0.02273956068284884,0.016397730404707232,0.04099432601176812
forward_backward_stable,40,0.0854667270535843,-0.5769200464302164,0.5832163418546286,0.0008513478319503896,0.0006139156522705296,0.0015347891306762313
forward_backward_stable,80,0.08461657792794391,-0.5769230726752853,0.5830953584494807,1.1933201195565088e-06,8.605153759058425e-07,2.151288439710652e-06
forward_backward_stable,120,0.08461538628803106,-0.5769230769171229,0.5830951897213638,1.6726569660632432e-09,1.2061701768457911e-09,3.0154253724902848e-09
forward_backward_stable,200,0.08461538461538787,-0.576923076923077,0.5830951894845305,3.1780134079895106e-15,2.401779625492033e-15,5.821000005975887e-15
forward_backward_outside_range,0,2.5,-2.0,3.2015621187164243,2.8034319626541264,4.148062800874644,5.05395884431205
forward_backward_outside_range,1,-1.145,-3.98,4.141427893854968,3.6184093934298724,5.242403915428493,6.239141066685381
forward_backward_outside_range,2,-4.182499999999999,0.29274999999999995,4.192732857278173,4.354836962085509,6.7562350887092615,7.885150039195511
forward_backward_outside_range,5,0.18739346875000037,-10.561808,10.563470288735333,9.98541387533172,15.826250825263434,18.001460867119047
forward_backward_outside_range,10,-39.451837669007126,-14.822525965047928,42.14445125335256,42.02461566400635,67.8580890355725,75.88240964986971
forward_backward_outside_range,20,402.4422505581068,747.0885925288309,848.5877268267457,849.0555869955879,1377.5910545842958,1531.098125152578
forward_backward_outside_range,40,-301992.0606033278,200161.4563083331,362303.48226164863,362303.871523797,587837.1595466494,653152.8605182628
forward_backward_outside_range,80,47456243914.1256,-45957520179.19019,66062006837.9523,66062006837.49017,107185478855.24078,119094976506.31174
forward_backward_outside_range,120,-6973546010449878.0,9821819296157182.0,1.2045682971348158e+16,1.2045682971348158e+16,1.954409742053064e+16,2.17156638005896e+16
forward_backward_outside_range,200,-9.882929849502497e+25,3.8810350930568894e+26,4.004891561283648e+26,4.004891561283648e+26,6.49792884459655e+26,7.219920938440611e+26
douglas_rachford,0,2.325,-1.825,2.9557148035627523,2.564569989446424,2.9293818673911396,4.623344298232611
douglas_rachford,1,0.7103318722604886,-1.6975579211020664,1.8401832148580914,1.2834888300639757,1.271073151629751,2.3138423941404755
douglas_rachford,2,0.05632520117361578,-1.2186466954908017,1.21994766146663,0.6423468977949716,0.5672530458990993,1.1580073383174985
douglas_rachford,5,0.0,-0.6242923525599455,0.6242923525599455,0.09697222070248318,0.12237340991344488,0.17481915701920683
douglas_rachford,10,0.08675954580797979,-0.5735613436904881,0.5800860572060366,0.003987314578375228,0.005031763507307906,0.007188233581868407
douglas_rachford,20,0.08461467133432576,-0.5769192116113238,0.5830912615802498,3.930573090358453e-06,4.960158986575774e-06,7.085941409434631e-06
douglas_rachford,40,0.08461538461158907,-0.5769230769235045,0.5830951894844023,3.81962062324116e-12,4.820196128874869e-12,6.885867582289481e-12
douglas_rachford,80,0.08461538461538454,-0.5769230769230771,0.5830951894845302,1.8875832159447664e-16,2.7755575615628914e-16,4.002966042486721e-16
douglas_rachford,120,0.08461538461538454,-0.5769230769230771,0.5830951894845302,1.8875832159447664e-16,2.7755575615628914e-16,4.002966042486721e-16
douglas_rachford,200,0.08461538461538454,-0.5769230769230771,0.5830951894845302,1.8875832159447664e-16,2.7755575615628914e-16,4.002966042486721e-16
