method,component_gradient_evaluations,epochs,objective,objective_gap,prox_gradient_mapping_norm,nonzero_coordinates,direction_variance_trace
prox_sgd_b1,0,0.0,0.5513362316807581,0.2361622638933356,0.10832855794967476,0,1.1468193719792907
prox_sgd_b1,320,1.0,0.3702175482052296,0.05504358041780716,0.021444123030821837,35,0.20287630148456232
prox_sgd_b1,640,2.0,0.3456910435897478,0.030517075802325322,0.018590943751343902,26,0.2049691821609164
prox_sgd_b1,960,3.0,0.35261241671387245,0.037438448926449985,0.01936197482100853,34,0.2519231892272348
prox_sgd_b1,1280,4.0,0.36811937169959086,0.0529454039121684,0.029796229670094147,34,0.13168723150568945
prox_sgd_b1,1600,5.0,0.3440604597431073,0.028886491955684823,0.01772940293189908,32,0.17837355463918506
prox_sgd_b1,1920,6.0,0.36730400424645354,0.05213003645903108,0.022939657645467362,36,0.1855969433395085
prox_sgd_b1,2240,7.0,0.33967464511660245,0.024500677329179987,0.012560809370328175,28,0.20583985615470013
prox_sgd_b1,2560,8.0,0.33277169799112805,0.017597730203705586,0.013759461627893042,22,0.21181935832129542
prox_sgd_b1,2880,9.0,0.34224173083603737,0.027067763048614912,0.015798406128366645,28,0.27433629954292693
prox_sgd_b1,3200,10.0,0.3539651427066747,0.038791174919252214,0.020535508430316735,35,0.16457694344643045
prox_sgd_b1,3520,11.0,0.34488872564568707,0.029714757858264607,0.016623659246199234,33,0.2108599340100843
prox_sgd_b1,3840,12.0,0.3643430437640875,0.04916907597666503,0.021155328208993934,33,0.26136164865160183
prox_minibatch_b16,0,0.0,0.5513362316807581,0.2361622638933356,0.10832855794967476,0,0.07167621074870567
prox_minibatch_b16,320,1.0,0.47802984093064677,0.1628558731432243,0.08798911404534003,19,0.05572471404755659
prox_minibatch_b16,640,2.0,0.42575094873287517,0.11057698094545271,0.07263472377858442,19,0.04530167691546953
prox_minibatch_b16,960,3.0,0.39309556908426724,0.07792160129684478,0.05967953266400586,27,0.03731134660361215
prox_minibatch_b16,1280,4.0,0.3652506832322026,0.05007671544478015,0.04678905972517255,26,0.029991266926131112
prox_minibatch_b16,1600,5.0,0.34732809753256816,0.0321541297451457,0.038856894448275725,17,0.02655369940668307
prox_minibatch_b16,1920,6.0,0.33857422339713694,0.023400255609714482,0.03232876621638514,15,0.02411665732740852
prox_minibatch_b16,2240,7.0,0.33313130497336096,0.017957337185938504,0.026317750019252795,18,0.021550879809775537
prox_minibatch_b16,2560,8.0,0.3253996490028912,0.01022568121546874,0.021504470211626138,11,0.01951610028110142
prox_minibatch_b16,2880,9.0,0.32155612458903304,0.006382156801610583,0.01623058440910809,12,0.017903354865238353
prox_minibatch_b16,3200,10.0,0.31863928091487426,0.0034653131274517968,0.012937145055556078,7,0.017365712120880016
prox_minibatch_b16,3520,11.0,0.3187931787112053,0.0036192109237828674,0.010395977334385874,17,0.01643895223004758
prox_minibatch_b16,3840,12.0,0.3177447126633351,0.002570744875912634,0.009863014116815592,10,0.01638661162760481
prox_saga,320,1.0,0.5513362316807581,0.2361622638933356,0.10832855794967476,0,0.0
prox_saga,640,2.0,0.3364671079185516,0.02129314013112915,0.030882283903767606,13,0.09782001800634663
prox_saga,960,3.0,0.32103318206917736,0.005859214281754899,0.012180776828082843,18,0.06029196457916808
prox_saga,1280,4.0,0.31574500657605503,0.0005710387886325718,0.005155181368145557,6,0.03248213576359973
prox_saga,1600,5.0,0.3153073845642892,0.00013341677686673492,0.002337202852006731,6,0.012430610167196843
prox_saga,1920,6.0,0.3151831621856891,9.194398266632042e-06,0.0006657881583918369,5,0.003997002859597115
prox_saga,2240,7.0,0.315190635623481,1.6667836058525953e-05,0.0009069062956898701,5,0.001237648754466667
prox_saga,2560,8.0,0.3151752443195945,1.2765321720231704e-06,0.0002559732064124996,5,8.69567909247325e-05
prox_saga,2880,9.0,0.31517410977002475,1.4198260228637238e-07,8.335204162947475e-05,5,2.0228054402838927e-05
prox_saga,3200,10.0,0.3151740826328425,1.1484542006279241e-07,7.642797522666668e-05,5,1.029106808858402e-05
prox_saga,3520,11.0,0.31517398783419104,2.0046768578474428e-08,3.045036972269875e-05,5,2.2866507233178645e-06
prox_saga,3840,12.0,0.3151739698318594,2.0444369530636664e-09,9.866567454031472e-06,5,4.5430827278459796e-07
