relative_path,category,extension,bytes,sha256,git_blob_sha1,api_blob_sha1,api_bytes,api_match
.gitignore,.gitignore,.gitignore,1045,f24477a840737ae9a1439e10ec2c1003279b9569cc0e3661bd145df95fd0343a,72364f99fe4bf8d5262df3b19b33102aeaa791e5,72364f99fe4bf8d5262df3b19b33102aeaa791e5,1045,True
APPM4720_5720_Fall2018_Syllabus.pdf,APPM4720_5720_Fall2018_Syllabus.pdf,.pdf,172789,5833e380b1d2d031635e13a306b99ee2535ea198d4a712ad2852d7c69719c682,2fb9f1caaf9e7be7a86d08786db5dc91b1dc8150,2fb9f1caaf9e7be7a86d08786db5dc91b1dc8150,172789,True
Demos/AD_demos/ADiGator_demo/.gitignore,Demos,.gitignore,13,e4ce45e80119c77154c23b29a4bcf6b293ba3b129c06a13031033c9fb732137e,26fc7d71462a7a45780813534f3908085dd290a6,26fc7d71462a7a45780813534f3908085dd290a6,13,True
Demos/AD_demos/ADiGator_demo/f1_demo.m,Demos,.m,938,7e6bb86075f22e96b58570c4e86241082f8a201ea74a41169c12434972103989,786cacc6942c867f4b5bfd870bdf527ade9cc367,786cacc6942c867f4b5bfd870bdf527ade9cc367,938,True
Demos/AD_demos/ADiGator_demo/f1.m,Demos,.m,173,f747f403517b97ec8116f58a40ae7d89d48a79b077f706a77c5869c22aa0082a,a4c61f1ef07d4c70c207d63d55ac8d4419b6ad40,a4c61f1ef07d4c70c207d63d55ac8d4419b6ad40,173,True
Demos/AD_demos/ADiGator_demo/polydatafit/.DS_Store,Demos,.ds_store,6148,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,5008ddfcf53c02e82d7eee2e57c38e5672ef89f6,5008ddfcf53c02e82d7eee2e57c38e5672ef89f6,6148,True
Demos/AD_demos/ADiGator_demo/polydatafit/Contents.m,Demos,.m,479,b1ca6318b9a6d4218a559ade9383f76a66f72cbc6b9bfeca8e50c3ced67b0532,07180133e41d8a3f6cc76e374a9f2f85dc0e2ac5,07180133e41d8a3f6cc76e374a9f2f85dc0e2ac5,479,True
Demos/AD_demos/ADiGator_demo/polydatafit/fit_ADiGatorJac.m,Demos,.m,3187,e4c523fea4ae2d8fee1b5d57e89e72754cd5607a2c53596616fd063cf2c7ebe1,2eda7de8398a30a13777c59a612045fd5859f5b4,2eda7de8398a30a13777c59a612045fd5859f5b4,3187,True
Demos/AD_demos/ADiGator_demo/polydatafit/fit_ADiGatorJac.mat,Demos,.mat,11368,87a4656b3e2c8048524900b4fc2dd93a9afb409ab1d7582da359c3ae7c147e7e,8f1af6c188707167719b6138989b28a8c1a5b707,8f1af6c188707167719b6138989b28a8c1a5b707,11368,True
Demos/AD_demos/ADiGator_demo/polydatafit/fit_Jac.m,Demos,.m,828,50f00be46dbb8e42316a06a6f17545dcc718dde5a9e0919982b5d1abb9d653df,c9a1877ef0a4ca8a14bf6d241b60a59a30627065,c9a1877ef0a4ca8a14bf6d241b60a59a30627065,828,True
Demos/AD_demos/ADiGator_demo/polydatafit/fit.m,Demos,.m,295,8c325ed179f64ed1faceb5798ab4dd0dd5a97662c3d080e3e0529af6ff7c8d99,bae28c40f4b64c7dde55033ca452df43dea1d4cf,bae28c40f4b64c7dde55033ca452df43dea1d4cf,295,True
Demos/AD_demos/ADiGator_demo/polydatafit/fit4numjac.m,Demos,.m,306,d410009c2af5de19fe7f11c1aa592abcae8feb61120f5e811343ccc67b49020d,b0756278e0165b69dd92eee50f05bd9214da69bc,b0756278e0165b69dd92eee50f05bd9214da69bc,306,True
Demos/AD_demos/ADiGator_demo/polydatafit/main.m,Demos,.m,1143,9395bb3b69bbbdc7c531760d105b4ab0cb75652ae8b1034be4eb5bef2fa2a29a,8b35235148bb1ca37c3d2bd2f6d7366d7e5f4ebd,8b35235148bb1ca37c3d2bd2f6d7366d7e5f4ebd,1143,True
Demos/AD_demos/ForwardDiff.jl/ForwardDiff_demo.ipynb,Demos,.ipynb,41592,2ddee1eb018e9089fcbfee9e6d6ab9c1f50c328721b8131bfafcd5a23ac49afc,fb603003f6826cde56eb004f653ddf28a5673db5,fb603003f6826cde56eb004f653ddf28a5673db5,41592,True
Demos/AD_demos/README.md,Demos,.md,1140,cff7f1168459962556c8ecf9fa394abf3ec10e54d1c802f47bf7ee1e801a0ac1,92fd33cf69a553b1eb0b349ee6f06f65cc4ac8d6,92fd33cf69a553b1eb0b349ee6f06f65cc4ac8d6,1140,True
Demos/AutoDiff_threeReLU_implementations.ipynb,Demos,.ipynb,103031,b8095579d7bf85e38ee130259031d275f6d9797c153abfe7bf30a4994abb07b5,4dd22d31086d2860fc3c6285d73da699251d36e1,4dd22d31086d2860fc3c6285d73da699251d36e1,103031,True
Demos/AutoDiffByHand.ipynb,Demos,.ipynb,18771,36591aad13b76149a43cc7a4c7b60f7cb114acbf4123e85ab9d24a82d682d0fb,92dd889f3b2cc00b3d2cc6b3fb1443aeb212e31c,92dd889f3b2cc00b3d2cc6b3fb1443aeb212e31c,18771,True
Demos/AutomaticDifferentiation.ipynb,Demos,.ipynb,44671,32377657882dd1b80c8cb38f8cf3339aae240ca791c349d658da5e7b09c52956,9e2506f369fba32c862d1124bbd1e750457abfad,9e2506f369fba32c862d1124bbd1e750457abfad,44671,True
Demos/BlockMultiplies/compareSpeed_homegrown_vs_MKL.m,Demos,.m,1443,6f9ce049718ad34e19262a43865c535b439d7e0c8d645c6a92fe771f269deebb,77c3607b5b443a971bfcb5c6736128b89def7e4a,77c3607b5b443a971bfcb5c6736128b89def7e4a,1443,True
Demos/BlockMultiplies/matrixMultiply.m,Demos,.m,1256,73c8693ffb3060f98e99b327ab02788f6f4e65ce510c5b43a48b54d3e7900254,4ee9f108f0f1c3b0c4cdfee4e226544b6f1864e3,4ee9f108f0f1c3b0c4cdfee4e226544b6f1864e3,1256,True
Demos/BlockMultiplies/MatrixMultiplyDemo.html,Demos,.html,165195,a26a9de2a667f25f4a330ac3ce3a97530e536282b0ab34d751b9808d6df53900,c86dbf19a519d4cae99d679afceaaca7610b88b6,c86dbf19a519d4cae99d679afceaaca7610b88b6,165195,True
Demos/BlockMultiplies/MatrixMultiplyDemo.mlx,Demos,.mlx,98396,ae1a317b9fd03964690a601ef113ce5fa5c8198cbee5be4ee0084fab452529c8,b6b93200fd0985a18093d38109c2185e4a97ef11,b6b93200fd0985a18093d38109c2185e4a97ef11,98396,True
Demos/BlockMultiplies/MultiplyMatrices_C.pdf,Demos,.pdf,10691,06ff1b47751e76dc14ccbcfab5ea6baf623b2486d6392201dee6127e5be84df6,ff92ff7db311d8e1826f07c59072e5e85f3b31d9,ff92ff7db311d8e1826f07c59072e5e85f3b31d9,10691,True
Demos/BlockMultiplies/multiplyMatrices.c,Demos,.c,1118,9c66a891791bcb9a63f66a0ba317ee9896d7a41feaaa2c24fa17f313a54264a6,5a81a10a5fa331244a038fc7e7f46cce2548ec65,5a81a10a5fa331244a038fc7e7f46cce2548ec65,1118,True
Demos/BlockMultiplies/multiplyMatrices.mexmaci64,Demos,.mexmaci64,8752,2bbd13e6207e84b909c106476bdf20a0a07187e34bccf7510f2e42e93bc3f323,2c5f1f6ff178b21067e854c4005018ada65facb5,2c5f1f6ff178b21067e854c4005018ada65facb5,8752,True
Demos/BlockMultiplies/README.md,Demos,.md,376,aa5a64f690842f2570a0c0550f51769e05285b1e6c9e68ff93b960231ec8fc8d,392114e14b59c1ff6800eb6840e42a81ed1498de,392114e14b59c1ff6800eb6840e42a81ed1498de,376,True
