component_id,path,source_authority,rights_expression,status,required_handling,notes
o015-penn-text,authority/penn-state/source/ClassNotes/Math555.tex,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,admitted,"attribution; change notice; noncommercial; ShareAlike; license link; non-endorsement","Editable version 1.0; public PDF 1.0.1 is a correction witness."
o015-penn-bbl,authority/penn-state/source/ClassNotes/Math555.bbl,o015-penn-math555-v1.0-source,CC BY-NC-SA 3.0 US,admitted_with_caveat,"same as Penn text; preserve opaque build input","Bibliography databases are absent."
o015-penn-maple,authority/penn-state/source,o015-penn-math555-v1.0-source,unclear/external,excluded,"do not translate or redistribute as an admitted code component","Contains Maple worksheets and listings; no separate reusable code license."
o015-penn-legacy-code,authority/penn-state/source,o015-penn-math555-v1.0-source,unclear/external,excluded,"reimplement computations with open tools","Legacy C++/NetBeans tree uses Boost/LAPACK/GLPK without pinned versions or separate license."
o015-habring-text,authority/habring/source-v1/subgradient.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,admitted,"attribution; license link; change notice; non-endorsement","Chapter 3 source; exact corrections listed in ADVERSE_LEDGER.jsonl."
o015-habring-class,source/id-ID/shinybook.cls,o015-habring-arxiv-2607.11664v1,CC BY 4.0 submission-level evidence,admitted_with_notice,"retain source attribution and template-credit caveat","Exact copy of bundled class; preface credits Christian Clason's template; no separate notice in the class."
o015-habring-macros,source/id-ID/macros-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,adapted,"attribution; license link; change notice","Indonesian adaptation of bundled macros.tex."
o015-habring-gradient-figure,source/id-ID/figures/gradient.png,o015-habring-arxiv-2607.11664v1,CC BY 4.0 submission-level evidence,admitted_with_notice,"retain exact bytes and caption; record missing generating source","No separate embedded notice or editable generating source."
o015-habring-subgradient-figure,source/id-ID/figures/subgradient.png,o015-habring-arxiv-2607.11664v1,CC BY 4.0 submission-level evidence,admitted_with_notice,"retain exact bytes and caption; record missing generating source","No separate embedded notice or editable generating source."
o015-habring-id-unit,source/id-ID/habring-03-subgradien-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,derivative,"attribute Habring; link CC BY 4.0; identify translation and corrections; no implied endorsement","Independent id-ID translation."
o015-solver-validation,qa/validate_subgradient_unit.py,lane-authored,project-local validation code,admitted,"ship source with results; no proprietary runtime","Uses NumPy/SciPy and open HiGHS/SLSQP implementations."
o015-habring-ch04-text,authority/habring/source-v1/projected_subgradient_method.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,admitted,"attribution; license link; change notice; non-endorsement","Chapter 4 authority source; exact corrections listed as O015-HAB-ADV-0019 through O015-HAB-ADV-0027."
o015-habring-id-unit-04,source/id-ID/habring-04-metode-subgradien-terproyeksi-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,derivative,"attribute Habring; link CC BY 4.0; identify translation and corrections; no implied endorsement","Independent id-ID translation preserving all 67 ordered source environments and four source labels."
o015-habring-id-wrapper-04,source/id-ID/D90-HAB-04-metode-subgradien-terproyeksi-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,derivative,"attribute Habring; link CC BY 4.0; identify translation and corrections; retain source bibliography attribution","Standalone Indonesian reader wrapper with correction appendix and non-endorsement notice."
o015-solver-validation-04,qa/validate_projected_subgradient_unit.py,lane-authored,project-local validation code,admitted,"ship source with results; no proprietary runtime","Uses NumPy/SciPy and open SLSQP to validate projections, step rules, counterexample, and convergence bounds."
o015-habring-ch05-text,authority/habring/source-v1/proximal_gradient.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,admitted,"attribution; license link; change notice; non-endorsement","Chapter 5 authority source; exact corrections listed as O015-HAB-ADV-0028 through O015-HAB-ADV-0038."
o015-habring-id-unit-05,source/id-ID/habring-05-metode-gradien-proksimal-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,derivative,"attribute Habring; link CC BY 4.0; identify translation and corrections; no implied endorsement","Independent id-ID translation preserving all 78 ordered source environments and mapping the duplicate source label uniquely."
o015-habring-id-wrapper-05,source/id-ID/D90-HAB-05-metode-gradien-proksimal-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,derivative,"attribute Habring; link CC BY 4.0; identify translation and corrections; retain source bibliography attribution","Standalone Indonesian reader wrapper with correction appendix and non-endorsement notice."
o015-solver-validation-05,qa/validate_proximal_gradient_unit.py,lane-authored,project-local validation code,admitted,"ship source with results; no proprietary runtime","Uses NumPy/SciPy and open SLSQP to validate prox mappings, Moreau gradients, descent, telescoping, and O(1/n) bounds."
o015-habring-ch06-text,authority/habring/source-v1/acceleration.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,admitted,"attribution; license link; change notice; non-endorsement","Chapter 6 authority source; exact corrections listed as O015-HAB-ADV-0039 through O015-HAB-ADV-0049."
o015-habring-id-unit-06,source/id-ID/habring-06-akselerasi-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,derivative,"attribute Habring; link CC BY 4.0; identify translation and corrections; no implied endorsement","Independent id-ID translation preserving all 99 ordered source environments, seven labels, twelve segments, and eight internal reference calls."
o015-habring-id-wrapper-06,source/id-ID/D90-HAB-06-akselerasi-id.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,derivative,"attribute Habring; link CC BY 4.0; identify translation and corrections; retain source attribution","Standalone Indonesian reader wrapper with correction appendix, Indonesian cross-reference labels, and non-endorsement notice."
o015-solver-validation-06,qa/validate_acceleration_unit.py,lane-authored,project-local validation code,admitted,"ship source with results; no proprietary runtime","Uses NumPy/SciPy to validate Gelfand/Jordan witnesses, heavy-ball spectral cases, FISTA inequalities, energy telescoping, and equal-work behavior."
o015-habring-ch07-text,authority/habring/source-v1/duality.tex,o015-habring-arxiv-2607.11664v1,CC BY 4.0,admitted,"attribution; license link; change notice; non-endorsement","Chapter 7 authority source; exact corrections listed as O015-HAB-ADV-0050 through O015-HAB-ADV-0075."
